job_link,job_desc
"Notice II to the candidate namely Abdul Majid Dar S/O Ghulam Mohi Ud Din Dar R/o Bonapora Srinagar regarding submission of documents for the post of Jr Assistant, Item No 171 (05 of 2015)",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18040&type=n
"Notice to the candidates for getting withheld recommendation released for the post of Library Assistant, Item No 086 (02 of 2017)",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18039&type=n
"Selection List of the candidate(s) for the post of Projectionist, (Health & Medical Education Department), District Cadre Bandipora, Item No 272  (03 of 2016, dated 30.06.2016).															
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18003&type=n
"Selection  list of candidates for the post of ""Sr. Craft Instructor(Stapple)"", (Industries & Commerce(Handicrafts) Department), Divisional Cadre Kashmir, item No.246(03 of 2016,Dated:-30-06-2016).													
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18036&type=n
"Selection  list of candidates for the post of ""Junior  Instructor Chain Stitch "", (Industries & Commerce Department), District Cadre Shopian, item No.419(03 of 2016,Dated:-30-06-2016).													
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18035&type=n
"Selection list of  candidates for the left out  post of Junior Assistant (School Education/Forest/Health Department) District Cadre Doda, item  No.050(01 of 2016 dated 01.06.2016).														
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18034&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Doda, Item No 079 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18016&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Kishtwar, Item No 080 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18015&type=n
"Selection List of the candidates for the post of  Health Educator (Health & Medical Education Department), District Cadre Budgam, Item No. 298(03 of 2016, dated  30.06.2016).													
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18005&type=n
"Selection List of the candidates for the post of Book Picker, (H&ME Department), Divisional Cadre Kashmir, Item No 218 (03 of 2016, Dated 30.06.2016).															
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18004&type=n
